message,sentiment,avg_noun_sentiment,avg_verb_sentiment,avg_adverb_sentiment,avg_adjective_sentiment,avg_na_sent,avg_tot_sent,sum_noun_sentiment,sum_verb_sentiment,sum_adverb_sentiment,sum_adjective_sentiment,last_punctuation,comma_count,._count,",_count",!_count
im gay,0.0,0.1,0.0,0.0,0.234375,0.0,0.1671875,0.1,0,0,1,,0.0,0.0,0.0,0.0
chicken thigh or breast,0.0,-0.026041666666666668,0.0,0.0,-0.109375,0.0,-0.046875,-0.078125,0,0,1,?,1.0,0.0,0.0,0.0
clogs the arteries over time,-0.5,-0.331298828125,0.0,0.0,0.005859375,0.0,-0.24700927734375,-0.993896484375,0,0,1,,0.0,0.0,0.0,0.0
shaquille oneal is a dubstep dj,0.5,0.2875,0.0,0.0,0.0,0.0,0.2875,1.4375,0,0,0,,0.0,0.0,0.0,0.0
red meat is good,0.5,0.0625,0.0,0.0,0.0974744418635964,0.0,0.08581629457573092,0.0625,0,0,2,,0.0,0.0,0.0,0.0
yooooo legend how u doing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,?,3.0,0.0,0.0,0.0
bowling stream this week penguinz,0.0,-0.0166015625,0.0,0.0,0.0,0.0,-0.0166015625,-0.06640625,0,0,0,?,1.0,0.0,0.0,0.0
can you watch okis weird storys please   its be super nice,0.5,0.2576416015625,0.0,0.09375,0.10807291666666667,0.0,0.1895751953125,1.2882080078125,0,1,3,,0.0,0.0,0.0,0.0
did you see the news about the missouri mom putting her baby in an oven,-0.5,0.09296424686908722,0.0,0.0,0.0009765625,0.0,0.07456670999526978,0.7437139749526978,0,0,2,?,1.0,0.0,0.0,0.0
sup charlie,0.5,-0.008928571428571452,0.0,0.0,0.0,0.0,-0.008928571428571452,-0.017857142857142905,0,0,0,,0.0,0.0,0.0,0.0
im loosing myself im not sure how much longer i can continue down a path of dissao,-0.5,-0.05178571428571428,-0.25,-0.625,0.1257651928961277,0.0,-0.07031708774396352,-0.3625,2,1,4,,0.0,0.0,0.0,0.0
are you gonna actually do anything,-0.5,-0.2083218892415364,0.0,0.0625,0.0,0.0,-0.14061641693115232,-0.6249656677246093,0,1,0,,0.0,0.0,0.0,0.0
devin booker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,?,1.0,0.0,0.0,0.0
have you ever  crash bandicoot,0.0,-0.09679762522379558,0.0,0.0,0.0,0.0,-0.07259821891784668,-0.2903928756713867,0,1,0,,0.0,0.0,0.0,0.0
supererrrrrr rigged,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,,0.0,0.0,0.0,0.0
play dark souls,0.0,0.03161638972267155,0.0,0.0,-0.236358642578125,0.0,-0.05770862104426063,0.0632327794453431,0,0,1,,0.0,0.0,0.0,0.0
did you see the hhvaush horse stuff,0.5,0.13307586312294006,0.0,0.0,0.0,0.0,0.13307586312294006,0.5323034524917603,0,0,0,,0.0,0.0,0.0,0.0
penguinz did you watch wwe press conference,0.0,0.06385479569435118,0.0,0.0,0.0,0.0,0.06385479569435118,0.3192739784717559,0,0,0,?,1.0,0.0,0.0,0.0
look up mr hands,0.0,0.031077067057291668,0.0,0.0,0.0537109375,0.0,0.03673553466796875,0.093231201171875,0,0,1,.,0.0,1.0,0.0,0.0
didnt watch stupid human faulty body landed me in the er,-0.5,0.087646484375,-0.0833333333333333,0.0,-0.065625,0.0,-0.006087239583333332,0.3505859375,1,0,5,.,0.0,1.0,0.0,0.0
can you do a moist meter for lies of p,0.0,-0.05902205573187932,0.0,0.0,0.0,0.0,-0.05059033348446799,-0.3541323343912759,0,0,1,,0.0,0.0,0.0,0.0
tata byyo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0.0,0.0,0.0,0.0
yoo wsg penguin,0.5,0.25,0.0,0.0,0.0,0.0,0.25,0.75,0,0,0,,0.0,0.0,0.0,0.0
do a backflip,0.0,-0.062488555908203104,0.0,0.0,0.0,0.0,-0.062488555908203104,-0.18746566772460932,0,0,0,,0.0,0.0,0.0,0.0
have u heard about helldivers,0.0,-0.0622267723083496,0.0,0.0,0.042317708333333336,0.0,0.000499916076660159,-0.1244535446166992,0,0,3,?,1.0,0.0,0.0,0.0
are you watching frieren beyond journeys end,0.0,0.1,0.0,0.0,0.0,0.0,0.08333333333333333,0.5,0,1,0,?,1.0,0.0,0.0,0.0
penguinz did you watch wwe press conference,0.0,0.06385479569435118,0.0,0.0,0.0,0.0,0.06385479569435118,0.3192739784717559,0,0,0,?,1.0,0.0,0.0,0.0
k would change my life,0.5,0.00813519954681395,-0.1666666666666666,0.0,0.0,0.0,-0.037599066893259675,0.0162703990936279,1,0,1,,0.0,0.0,0.0,0.0
thoughts on halftime show,0.0,0.015666961669921865,0.0,0.0,0.03125,0.0,0.0195627212524414,0.0470008850097656,0,0,1,?,1.0,0.0,0.0,0.0
why am i still getting ads mid stream if im subbed,-0.5,-0.05913318452380952,-0.375,0.0,-0.023945490519205703,0.0,-0.08016355787004742,-0.3547991071428571,1,0,3,,0.0,0.0,0.0,0.0
charlie will you do a moist meter on persona  reloaded,0.0,-0.012736093430292035,0.0,0.0,0.015625,0.0,-0.005018506731305801,-0.07641656058175221,1,0,2,?,1.0,0.0,0.0,0.0
what did you think about the super bowl commercials,0.0,-0.0001220703125,0.0,0.0,0.0048828125,0.0,0.0018798828125,-0.0003662109375,0,0,2,?,1.0,0.0,0.0,0.0
caught up on skibidi toilet lore,0.0,0.041666666666666664,0.0,0.0,0.04248046875,0.0,0.034993489583333336,0.125,1,0,2,?,1.0,0.0,0.0,0.0
tell the moist gang i love them and good luck with ur next banger vid i love them,0.5,0.25592041015625,0.0,0.0,0.02766165174543856,0.0,0.1681285799982456,2.04736328125,0,0,5,,0.0,0.0,0.0,0.0
yeah what happened to claw machine i think i missed out some news,0.0,0.015533447265625,-0.25,0.0,-0.08016433715820312,0.0,-0.05351708152077415,0.0621337890625,1,1,5,?,1.0,0.0,0.0,0.0
charlie you need to take a dive into cobrajfss mead making,0.0,0.011745027133162198,0.0,0.0,0.0,0.0,0.011745027133162198,0.09396021706529759,0,0,0,comma,0.0,0.0,1.0,0.0
hanforth council is the one where jackie weaver does a council coup lol,0.0,0.06216032608695651,0.0,0.0,0.00439453125,0.0,0.05574190443840579,0.4972826086956521,0,0,1,,0.0,0.0,0.0,0.0
play dark souls,0.0,0.03161638972267155,0.0,0.0,-0.236358642578125,0.0,-0.05770862104426063,0.0632327794453431,0,0,1,,0.0,0.0,0.0,0.0
fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list,0.0,0.06640625,0.0,0.0,0.0,0.0,0.06640625,2.390625,0,0,0,,0.0,0.0,0.0,0.0
watch deadpool trailer pleease,0.0,0.072021484375,0.0,0.0,0.0,0.0,0.072021484375,0.2880859375,0,0,0,,0.0,0.0,0.0,0.0
penguinz did you watch wwe press conference,0.0,0.06385479569435118,0.0,0.0,0.0,0.0,0.06385479569435118,0.3192739784717559,0,0,0,?,1.0,0.0,0.0,0.0
super bowling,0.5,0.0,0.0,0.0,0.0078125,0.0,0.00390625,0.0,0,0,1,,0.0,0.0,0.0,0.0
did you see the hhvaush horse stuff,0.5,0.13307586312294006,0.0,0.0,0.0,0.0,0.13307586312294006,0.5323034524917603,0,0,0,,0.0,0.0,0.0,0.0
i thought u were hyped abt the new release,-0.5,-0.17710256576538086,0.0,0.0,0.014851888020833334,0.0,-0.06953600474766322,-0.5313076972961426,1,0,3,,0.0,0.0,0.0,0.0
