,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,occurence_timestamp,timeStampUTC,author,content.message,content.text_content,content.giftText,content.giftedText,sentiment
0,0,0,0,0,-1:54,1707172148489028,RTR,im gonna buy the $7 membership ,im gonna buy the $7 membership ,,,
1,1,1,1,1,-1:49,1707172153354485,OnlyShadow 767,@Dustin Poon Yes  ,@Dustin Poon Yes  ,,,
2,2,2,2,2,-1:49,1707172153440291,Ape,@Jabberwock ty ,@Jabberwock ty ,,,
3,3,3,3,3,-1:41,1707172161599811,Srdzfdxtfyufk,i love being on private accounts i feel included ,i love being on private accounts i feel included ,,,
4,4,4,4,4,-1:40,1707172162451870,Salad Snick,no prechat jams got me like SadKitty  ,no prechat jams got me like SadKitty  ,,,
5,5,5,5,5,-1:34,1707172168824051,Dustin Poon,$ludwigHype ,,,,
6,6,6,6,6,-1:33,1707172169780910,Henry Lemon,ok ,ok ,,,
7,7,7,7,7,-1:26,1707172176851622,Henry Lemon,true ,true ,,,
8,8,8,8,8,-1:24,1707172178261311,ReplacedByDrumbot,I've had a truly awful day ,I've had a truly awful day ,,,
9,9,9,9,9,-1:24,1707172178615613,Brie,$face-fuchsia-tongue-out ,,,,
10,10,10,10,10,-1:23,1707172179774163,Senoue,Is Baldurs gate always members only? ,Is Baldurs gate always members only? ,,,
11,11,11,11,11,-1:18,1707172184109984,Bruno,PatientlyWaiting  ,PatientlyWaiting  ,,,
12,12,12,12,12,-1:16,1707172186685373,lexi,peepoHey srdz  ,peepoHey srdz  ,,,
13,13,13,13,13,-1:14,1707172188988569,Justin Hodge,65+ ,65+ ,,,
14,14,14,14,14,-1:13,1707172189156735,Jabberwock,hope it gets better drumbot ,hope it gets better drumbot ,,,
15,15,15,15,15,-1:11,1707172191150720,ari,blocking u so ur not in my priv anymore srdz peepoEvil  ,blocking u so ur not in my priv anymore srdz peepoEvil  ,,,
16,16,16,16,16,-1:10,1707172192569185,Srdzfdxtfyufk,hi lexi ,hi lexi ,,,
17,17,17,17,17,-1:09,1707172193116760,Salad Snick,peepoWaiting  ,peepoWaiting  ,,,
18,18,18,18,18,-1:07,1707172195580791,Henry Lemon,@repolaced by drumbot what happened ,@repolaced by drumbot what happened ,,,
19,19,19,19,19,-1:05,1707172197398702,Srdzfdxtfyufk,what the fuck ,what the fuck ,,,
20,20,20,20,21,-1:04,1707172198830847,Zippy,angy  ,angy  ,,,
