text,vader,roberta
im gay,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.81496274 0.16233492 0.02270241]
chicken thigh or breast,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.1592089  0.76431054 0.0764805 ]
clogs the arteries over time,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.5641648  0.41163233 0.02420286]
shaquille oneal is a dubstep dj,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.05745054 0.89610785 0.04644163]
red meat is good,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",[0.00410309 0.05260199 0.94329494]
yooooo legend how u doing,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.01816292 0.59198636 0.38985068]
bowling stream this week penguinz,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.00712585 0.8191498  0.1737244 ]
can you watch okis weird storys please   its be super nice,"{'neg': 0.096, 'neu': 0.395, 'pos': 0.508, 'compound': 0.8074}",[0.00583645 0.05795635 0.9362072 ]
did you see the news about the missouri mom putting her baby in an oven,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.66767615 0.32581294 0.00651087]
sup charlie,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.14289379 0.69919163 0.15791456]
im loosing myself im not sure how much longer i can continue down a path of dissao,"{'neg': 0.123, 'neu': 0.877, 'pos': 0.0, 'compound': -0.2411}",[0.9453591  0.05085871 0.00378213]
are you gonna actually do anything,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.32991758 0.64310133 0.02698112]
devin booker,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.09118531 0.79614794 0.1126667 ]
have you ever  crash bandicoot,"{'neg': 0.403, 'neu': 0.597, 'pos': 0.0, 'compound': -0.4019}",[0.13885511 0.7876161  0.07352878]
supererrrrrr rigged,"{'neg': 0.714, 'neu': 0.286, 'pos': 0.0, 'compound': -0.3612}",[0.5276053  0.43626955 0.03612521]
play dark souls,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}",[0.07839188 0.8035162  0.11809193]
did you see the hhvaush horse stuff,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.10563786 0.85976964 0.03459254]
penguinz did you watch wwe press conference,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.05228064 0.9088853  0.03883409]
look up mr hands,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.12908305 0.765858   0.10505901]
didnt watch stupid human faulty body landed me in the er,"{'neg': 0.163, 'neu': 0.639, 'pos': 0.197, 'compound': 0.122}",[0.9773456  0.02033812 0.00231636]
can you do a moist meter for lies of p,"{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.4215}",[0.17673573 0.79194826 0.03131605]
tata byyo,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.17990719 0.6350199  0.18507293]
yoo wsg penguin,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.02391624 0.73513114 0.24095258]
do a backflip,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.11458894 0.7295804  0.15583064]
have u heard about helldivers,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.18454467 0.7771787  0.03827665]
are you watching frieren beyond journeys end,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.06888004 0.8913102  0.03980973]
penguinz did you watch wwe press conference,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.05228064 0.9088853  0.03883409]
k would change my life,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.11587914 0.5306916  0.35342923]
thoughts on halftime show,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.03815454 0.89816415 0.06368127]
why am i still getting ads mid stream if im subbed,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.7693598  0.22181813 0.00882202]
charlie will you do a moist meter on persona  reloaded,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.0319952  0.9193625  0.04864236]
what did you think about the super bowl commercials,"{'neg': 0.0, 'neu': 0.672, 'pos': 0.328, 'compound': 0.5994}",[0.11282718 0.84306425 0.04410863]
caught up on skibidi toilet lore,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.14575924 0.76535267 0.08888804]
tell the moist gang i love them and good luck with ur next banger vid i love them,"{'neg': 0.0, 'neu': 0.456, 'pos': 0.544, 'compound': 0.936}",[0.00225551 0.0101775  0.98756695]
yeah what happened to claw machine i think i missed out some news,"{'neg': 0.164, 'neu': 0.672, 'pos': 0.164, 'compound': 0.0}",[0.6277887  0.35518852 0.01702275]
charlie you need to take a dive into cobrajfss mead making,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.07740287 0.8693459  0.0532512 ]
hanforth council is the one where jackie weaver does a council coup lol,"{'neg': 0.0, 'neu': 0.797, 'pos': 0.203, 'compound': 0.4215}",[0.08676477 0.779762   0.1334732 ]
play dark souls,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}",[0.07839188 0.8035162  0.11809193]
fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.10807507 0.8291158  0.06280921]
watch deadpool trailer pleease,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.02711469 0.6781847  0.29470068]
penguinz did you watch wwe press conference,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.05228064 0.9088853  0.03883409]
super bowling,"{'neg': 0.0, 'neu': 0.204, 'pos': 0.796, 'compound': 0.5994}",[0.03911139 0.7636279  0.1972607 ]
did you see the hhvaush horse stuff,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.10563786 0.85976964 0.03459254]
i thought u were hyped abt the new release,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.11001299 0.7555215  0.13446552]
i bet youd find fear and hunger interesting,"{'neg': 0.437, 'neu': 0.336, 'pos': 0.227, 'compound': -0.3612}",[0.15265676 0.5409946  0.30634868]
we buy chicken at the store what,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.25993168 0.707886   0.03218235]
im getting a motorcycle im happy,"{'neg': 0.0, 'neu': 0.519, 'pos': 0.481, 'compound': 0.5719}",[0.00200404 0.03492953 0.9630664 ]
what about basketball,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.12714486 0.7995085  0.0733466 ]
u bowl,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.25480378 0.6117704  0.13342582]
if i wanna bulk eat red meat and cooked vegetables,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.06204903 0.8243104  0.11364054]
have you seen satire of justin bieber,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.09036575 0.8400167  0.06961754]
the chiefs dude who slapped a ers player and earned his team a penalty,"{'neg': 0.214, 'neu': 0.786, 'pos': 0.0, 'compound': -0.4588}",[0.8635414  0.13113521 0.00532332]
how do u feel about the gamertag astralfrostbitedemondeity,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.09614418 0.8658066  0.03804916]
is helldivers  worth it,"{'neg': 0.0, 'neu': 0.612, 'pos': 0.388, 'compound': 0.2263}",[0.06775554 0.5627334  0.369511  ]
bowling for soup,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.09110644 0.8299629  0.07893058]
helldivers,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.20331848 0.6664418  0.13023973]
did usher make a gojo reference at halftime,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.06945992 0.8864488  0.04409126]
what did you think about the super bowl commercials,"{'neg': 0.0, 'neu': 0.672, 'pos': 0.328, 'compound': 0.5994}",[0.11282718 0.84306425 0.04410863]
have you seen somethingaboutchickens new video,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.05680593 0.90810066 0.0350934 ]
is it true youre going to build a bowling alley in the hq,"{'neg': 0.0, 'neu': 0.797, 'pos': 0.203, 'compound': 0.4215}",[0.01851816 0.9216866  0.05979514]
going to sleep night charlie,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.06948023 0.81965446 0.11086531]
just buy a bowling ball and pins,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.07945138 0.8417598  0.07878878]
i love you charlie,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.6369}",[0.00383413 0.02401744 0.9721485 ]
didnt you watch the spongwbob half time,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.19408536 0.76486754 0.04104711]
as a tampa legend why wasnt mrcritikal asked to be in gta  since its in florida,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.2262482  0.73830706 0.03544475]
you gotta do a backflip,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.1669638  0.7450029  0.08803328]
can you rent a trash truck for a day,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.3810976  0.5861439  0.03275853]
fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.10807507 0.8291158  0.06280921]
look up mike spark,"{'neg': 0.0, 'neu': 0.612, 'pos': 0.388, 'compound': 0.2263}",[0.05596165 0.8099652  0.13407312]
favorite home made meal,"{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.4588}",[0.00236749 0.09724964 0.9003829 ]
