content.text_content,sentiment,last_punctuation,?_count,._count,",_count",!_count
 ,0.0,?,1.0,0.0,0.0,0.0
im gay ,0.0,,0.0,0.0,0.0,0.0
chicken thigh or breast ,0.0,?,1.0,0.0,0.0,0.0
clogs the arteries over time ,-0.5,,0.0,0.0,0.0,0.0
shaquille oneal is a dubstep dj ,0.5,,0.0,0.0,0.0,0.0
red meat is good ,0.5,,0.0,0.0,0.0,0.0
yooooo legend how u doing ,0.0,?,3.0,0.0,0.0,0.0
bowling stream this week penguinz ,0.0,?,1.0,0.0,0.0,0.0
can you watch okis weird storys please   its be super nice  ,0.5,,0.0,0.0,0.0,0.0
did you see the news about the missouri mom putting her baby in an oven ,-0.5,?,1.0,0.0,0.0,0.0
sup charlie ,0.5,,0.0,0.0,0.0,0.0
im loosing myself im not sure how much longer i can continue down a path of dissao ,-0.5,,0.0,0.0,0.0,0.0
are you gonna actually do anything  ,-0.5,,0.0,0.0,0.0,0.0
devin booker ,0.0,?,1.0,0.0,0.0,0.0
have you ever  crash bandicoot ,0.0,,0.0,0.0,0.0,0.0
supererrrrrr rigged ,0.0,,0.0,0.0,0.0,0.0
play dark souls  ,0.0,,0.0,0.0,0.0,0.0
did you see the hhvaush horse stuff  ,0.5,,0.0,0.0,0.0,0.0
penguinz did you watch wwe press conference ,0.0,?,1.0,0.0,0.0,0.0
look up mr hands  ,0.0,.,0.0,1.0,0.0,0.0
didnt watch stupid human faulty body landed me in the er ,-0.5,.,0.0,1.0,0.0,0.0
can you do a moist meter for lies of p ,0.0,,0.0,0.0,0.0,0.0
tata byyo ,0.0,,0.0,0.0,0.0,0.0
yoo wsg penguin ,0.5,,0.0,0.0,0.0,0.0
do a backflip ,0.0,,0.0,0.0,0.0,0.0
have u heard about helldivers  ,0.0,?,1.0,0.0,0.0,0.0
are you watching frieren beyond journeys end   ,0.0,?,1.0,0.0,0.0,0.0
penguinz did you watch wwe press conference ,0.0,?,1.0,0.0,0.0,0.0
k would change my life ,0.5,,0.0,0.0,0.0,0.0
thoughts on halftime show ,0.0,?,1.0,0.0,0.0,0.0
why am i still getting ads mid stream if im subbed ,-0.5,,0.0,0.0,0.0,0.0
charlie will you do a moist meter on persona  reloaded ,0.0,?,1.0,0.0,0.0,0.0
what did you think about the super bowl commercials ,0.0,?,1.0,0.0,0.0,0.0
caught up on skibidi toilet lore ,0.0,?,1.0,0.0,0.0,0.0
tell the moist gang i love them and good luck with ur next banger vid i love them ,0.5,,0.0,0.0,0.0,0.0
yeah what happened to claw machine i think i missed out some news ,0.0,?,1.0,0.0,0.0,0.0
charlie you need to take a dive into cobrajfss mead making ,0.0,",",0.0,0.0,1.0,0.0
hanforth council is the one where jackie weaver does a council coup lol ,0.0,,0.0,0.0,0.0,0.0
play dark souls ,0.0,,0.0,0.0,0.0,0.0
fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list ,0.0,,0.0,0.0,0.0,0.0
watch deadpool trailer pleease ,0.0,,0.0,0.0,0.0,0.0
penguinz did you watch wwe press conference ,0.0,?,1.0,0.0,0.0,0.0
super bowling ,0.5,,0.0,0.0,0.0,0.0
did you see the hhvaush horse stuff  ,0.5,,0.0,0.0,0.0,0.0
i thought u were hyped abt the new release ,-0.5,,0.0,0.0,0.0,0.0
i bet youd find fear and hunger interesting  ,-0.5,,0.0,0.0,0.0,0.0
we buy chicken at the store what ,0.0,!,2.0,0.0,0.0,1.0
im getting a motorcycle im happy ,1.0,,0.0,0.0,0.0,0.0
what about basketball ,0.0,?,1.0,0.0,0.0,0.0
u bowl ,0.0,?,1.0,0.0,0.0,0.0
if i wanna bulk eat red meat and cooked vegetables ,0.0,",",0.0,0.0,1.0,0.0
have you seen satire of justin bieber ,0.0,,0.0,0.0,0.0,0.0
the chiefs dude who slapped a ers player and earned his team a penalty  ,-0.5,,0.0,0.0,0.0,0.0
how do u feel about the gamertag astralfrostbitedemondeity  ,0.0,,0.0,0.0,0.0,0.0
is helldivers  worth it ,0.0,?,1.0,0.0,0.0,0.0
bowling for soup ,0.0,,0.0,0.0,0.0,0.0
helldivers  ,0.0,,0.0,0.0,0.0,0.0
did usher make a gojo reference at halftime ,0.0,?,1.0,0.0,0.0,0.0
what did you think about the super bowl commercials ,0.0,?,1.0,0.0,0.0,0.0
have you seen somethingaboutchickens new video ,0.0,,0.0,0.0,0.0,0.0
is it true youre going to build a bowling alley in the hq ,0.0,?,1.0,0.0,0.0,0.0
going to sleep night charlie ,0.5,",",0.0,0.0,1.0,0.0
just buy a bowling ball and pins ,0.0,,0.0,0.0,0.0,0.0
i love you charlie ,1.0,,0.0,0.0,0.0,0.0
didnt you watch the spongwbob half time ,0.0,,0.0,0.0,0.0,0.0
as a tampa legend why wasnt mrcritikal asked to be in gta  since its in florida ,0.0,.,0.0,1.0,1.0,0.0
you gotta do a backflip ,0.0,,0.0,0.0,0.0,0.0
can you rent a trash truck for a day ,0.0,?,1.0,0.0,0.0,0.0
fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list fruit juice tier list ,0.0,,0.0,0.0,0.0,0.0
look up mike spark ,0.0,,0.0,0.0,0.0,0.0
favorite home made meal ,0.0,?,1.0,0.0,0.0,0.0
crash twinsanity ost slaps ,0.0,,0.0,0.0,0.0,0.0
cancer sucks tho dude just found out thats wat my mom died from liver cancer that lead to serosis ,0.0,,0.0,0.0,0.0,0.0
when are you gonna ball vs the yard boys ,0.0,?,1.0,0.0,0.0,0.0
watching you for school rn ,0.0,,0.0,0.0,0.0,0.0
penguinz did you watch wwe press conference ,0.0,?,1.0,0.0,0.0,0.0
overwatch is bs bru ,0.0,,0.0,0.0,0.0,0.0
please do another mini golf tournament  ,0.0,,0.0,0.0,0.0,0.0
you see andrew callaghan got arrested ,0.0,?,1.0,0.0,0.0,0.0
hey charlie did you get a chance to see my tweet about making you a custom gundam ,0.0,?,1.0,0.0,1.0,0.0
you watch the game ,0.0,?,1.0,0.0,0.0,0.0
helldivers  ,0.0,?,1.0,0.0,0.0,0.0
chiefs won  ,0.5,,0.0,0.0,0.0,0.0
deadpool ,0.0,!,0.0,0.0,0.0,12.0
devin booker ,0.0,?,1.0,0.0,0.0,0.0
did you see the hhvaush horse stuff  ,0.5,,0.0,0.0,0.0,0.0
play dark souls ,0.0,,0.0,0.0,0.0,0.0
what did you think about the super bowl commercials ,0.0,?,1.0,0.0,0.0,0.0
more food dip reviews you still do them ,0.0,?,2.0,0.0,0.0,0.0
mint mobile should i make the switch ,0.0,?,2.0,0.0,0.0,0.0
handforth is different ,0.0,,0.0,0.0,0.0,0.0
mr penguin have you thought about making a comic book god tweet  ,0.0,?,1.0,1.0,0.0,0.0
the halftime was mid ,-0.5,,0.0,0.0,0.0,0.0
or just eat taco bell idgaf ,-0.5,,0.0,0.0,0.0,0.0
hey charlie did you get a chance to see my tweet about making you a custom gundam ,0.0,?,1.0,0.0,1.0,0.0
penguinz did you watch wwe press conference ,0.0,?,1.0,0.0,0.0,0.0
charlie doesnt deserve this lifestyle and i hate how all my labor was for nothing and my reward to is watch people like this live how i should be living life is so unfair and uncaring good night ,-1.0,.,0.0,3.0,0.0,0.0
have you seen an alligator snapping turtle  ,0.0,,0.0,0.0,0.0,0.0
why am i still getting ads mid stream if im subbed ,-0.5,,0.0,0.0,0.0,0.0
